summary,cicid,i94yr,i94mon,i94cit,i94res,i94port,arrdate,i94mode,i94addr,depdate,i94bir,i94visa,count,dtadfile,visapost,occup,entdepa,entdepd,entdepu,matflag,biryear,dtaddto,gender,insnum,airline,admnum,fltno,visatype
count,3096313,3096313,3096313,3096313,3096313,3096313,3096313,3096074,2943721,2953856,3095511,3096313,3096313,3096312,1215063,8126,3096075,2957884,392,2957884,3095511,3095836,2682044,113708,3012686,3096313,3076764,3096313
mean,3078651.879075533,2016.0,4.0,304.9069344733559,303.28381949757664,,20559.84854179794,1.0736897761487614,51.652482269503544,20573.95283554784,41.767614458485205,1.8453925685161674,1.0,2.0160424766168267E7,999.0,885.675,,,,,1974.2323855415148,8291120.333841449,,4131.050016327899,59.477601493233784,7.082885011150484E10,1360.2463696420555,
stddev,1763278.0997499449,0.0,0.0,210.02688853063205,208.58321292789535,,8.777339475317723,0.5158963131657106,42.97906231370983,29.35696848166157,17.42026053458727,0.3983910200540999,0.0,50.01513453988029,0.0,264.6551105950961,,,,,17.420260534589556,1656502.4244925722,,8821.743471773654,172.6333995206175,2.2154415947558968E10,5852.676345633695,
min,6.0,2016.0,4.0,101.0,101.0,5KE,20545.0,1.0,..,15176.0,-3.0,1.0,1.0,20130811,999,049,A,D,U,M,1902.0,/   183D,F,0,*FF,0.0,00000,B1
25%,1577480.0,2016.0,4.0,135.0,131.0,,20552.0,1.0,10.0,20561.0,30.0,2.0,1.0,2.0160409E7,999.0,855.0,,,,,1962.0,7102016.0,,3680.0,2.0,5.6035214733E10,101.0,
50%,3103635.0,2016.0,4.0,213.0,213.0,,20560.0,1.0,40.0,20570.0,41.0,2.0,1.0,2.0160417E7,999.0,999.0,,,,,1975.0,7252016.0,,3872.0,2.0,5.9360818033E10,408.0,
75%,4654348.0,2016.0,4.0,512.0,504.0,,20567.0,1.0,99.0,20579.0,54.0,2.0,1.0,2.0160424E7,999.0,999.0,,,,,1986.0,1.0132016E7,,3945.0,2.0,9.350985333E10,903.0,
max,6102785.0,2016.0,4.0,999.0,760.0,YSL,20574.0,9.0,ZU,45427.0,114.0,3.0,1.0,20160919,ZZZ,WTR,Z,W,Y,M,2019.0,D/S,X,YM0167,ZZ,9.991556593E10,ZZZ,WT
